Strike,Bid,Ask
1225,735.9,738.8
1250,710.8,713.8
1275,686,688.7
1300,660.9,663.8
1325,635.9,638.6
1350,610.9,613.6
1375,585.9,588.7
1400,561,563.7
1425,536,538.8
1450,511.1,513.8
1475,486.1,488.9
1500,461.2,464
1510,451.3,454
1520,441.3,444
1525,436.3,439.1
1530,431.3,434.1
1540,421.4,424.1
1550,411.4,414.2
1555,406.4,409.2
1560,401.4,404.2
1565,396.5,399.2
1570,391.2,394
1575,386.5,389.3
1580,381.5,384.3
1585,376.6,379.3
1590,371.3,374.1
1595,366.6,369.4
1600,361.6,364.4
1605,356.7,359.4
1610,351.7,354.5
1615,346.7,349.5
1620,341.8,344.5
1625,336.8,339.5
1630,331.8,334.6
1635,326.9,329.6
1640,321.9,324.7
1645,316.9,319.7
1650,312,314.7
1655,307,309.8
1660,302.1,304.8
1665,297.1,299.9
1670,292.2,294.9
1675,287.2,289.9
1680,282.3,285
1685,277.3,280.1
1690,272.4,275.1
1695,267.4,270.2
1700,262.5,265.2
1705,257.5,260.3
1710,252.6,255.3
1715,247.7,250.4
1720,242.7,245.5
1725,237.8,240.6
1730,232.9,235.6
1735,228,230.7
1740,223.4,225.3
1745,218.5,220.4
1750,213.6,215.5
1755,208.7,210.6
1760,203.8,205.7
1765,198.9,200.8
1770,194,195.9
1775,189.2,191.1
1780,184.3,185.8
1785,179.4,180.9
1790,174.6,176.1
1795,169.7,171.2
1800,164.9,166.4
1805,160.1,161.6
1810,155.3,156.7
1815,150.5,152
1820,145.7,147.2
1825,140.9,142.4
1830,136.2,137.7
1835,131.5,132.9
1840,126.8,128.2
1845,122.1,123.5
1850,117.4,118.8
1855,112.8,114.2
1860,108.2,109.6
1865,103.6,105
1870,99,100.4
1875,94.5,95.9
1880,90,91.4
1885,85.5,86.9
1890,81.1,82.5
1895,76.8,78.1
1900,72.4,73.7
1905,68.2,69.4
1910,64,65.2
1915,59.8,61.1
1920,55.7,57
1925,51.7,53
1930,47.8,49.1
1935,44.6,45.1
1940,40.8,41.3
1945,37.2,37.7
1950,33.7,34.4
1955,30.3,30.9
1960,27,27.6
1965,23.8,24.5
1970,20.8,21.4
1975,18,18.6
1980,15.5,15.9
1985,13.1,13.5
1990,10.9,11.3
1995,9,9.3
2000,7.2,7.6
2005,5.7,6
2010,4.5,4.8
2015,3.4,3.7
2020,2.6,2.8
2025,1.95,2.15
2030,1.45,1.65
2035,1.05,1.25
2040,0.8,0.95
2045,0.6,0.75
2050,0.5,0.65
2060,0.3,0.4
2070,0.2,0.3
2075,0.15,0.25
2100,0.1,0.2
2125,0.05,0.15
2150,0.05,0.15
2175,0,0.1
2200,0.05,0.1
2225,0,0.1
2250,0,0.1
