date,oas
1996-12-31,313
1997-01-02,306
1997-01-03,309
1997-01-06,310
1997-01-07,310
1997-01-08,307
1997-01-09,313
1997-01-10,316
1997-01-13,304
1997-01-14,309
1997-01-15,307
1997-01-16,302
1997-01-17,304
1997-01-20,303
1997-01-21,305
1997-01-22,299
1997-01-23,297
1997-01-24,294
1997-01-27,290
1997-01-28,292
1997-01-29,294
1997-01-30,297
1997-01-31,304
1997-02-03,308
1997-02-04,308
1997-02-05,305
1997-02-06,303
1997-02-07,306
1997-02-10,304
1997-02-11,303
1997-02-12,301
1997-02-13,304
1997-02-14,305
1997-02-18,301
1997-02-19,298
1997-02-20,289
1997-02-21,289
1997-02-24,285
1997-02-25,283
1997-02-26,271
1997-02-27,271
1997-02-28,273
1997-03-03,271
1997-03-04,267
1997-03-05,271
1997-03-06,270
1997-03-07,274
1997-03-10,274
1997-03-11,272
1997-03-12,269
1997-03-13,262
1997-03-14,266
1997-03-17,266
1997-03-18,267
1997-03-19,267
1997-03-20,268
1997-03-21,269
1997-03-24,271
1997-03-25,269
1997-03-26,271
1997-03-27,267
1997-03-31,284
1997-04-01,290
1997-04-02,294
1997-04-03,295
1997-04-04,292
1997-04-07,295
1997-04-08,293
1997-04-09,291
1997-04-10,292
1997-04-11,287
1997-04-14,288
1997-04-15,293
1997-04-16,291
1997-04-17,292
1997-04-18,291
1997-04-21,287
1997-04-22,289
1997-04-23,283
1997-04-24,278
1997-04-25,278
1997-04-28,281
1997-04-29,291
1997-04-30,294
1997-05-01,291
1997-05-02,290
1997-05-05,286
1997-05-06,283
1997-05-07,279
1997-05-08,279
1997-05-09,281
1997-05-12,282
1997-05-13,273
1997-05-14,269
1997-05-15,270
1997-05-16,268
1997-05-19,267
1997-05-20,269
1997-05-21,267
1997-05-22,263
1997-05-23,264
1997-05-27,260
1997-05-28,261
1997-05-29,261
1997-05-30,265
1997-05-31,268
1997-06-02,266
1997-06-03,268
1997-06-04,265
1997-06-05,260
1997-06-06,270
1997-06-09,259
1997-06-10,256
1997-06-11,255
1997-06-12,259
1997-06-13,262
1997-06-16,260
1997-06-17,258
1997-06-18,262
1997-06-19,261
1997-06-20,264
1997-06-23,261
1997-06-24,260
1997-06-25,259
1997-06-26,261
1997-06-27,263
1997-06-30,267
1997-07-01,270
1997-07-02,271
1997-07-03,279
1997-07-07,282
1997-07-08,280
1997-07-09,280
1997-07-10,278
1997-07-11,276
1997-07-14,271
1997-07-15,269
1997-07-16,271
1997-07-17,270
1997-07-18,267
1997-07-21,266
1997-07-22,272
1997-07-23,269
1997-07-24,269
1997-07-25,266
1997-07-28,268
1997-07-29,270
1997-07-30,273
1997-07-31,271
1997-08-01,257
1997-08-04,255
1997-08-05,255
1997-08-06,256
1997-08-07,252
1997-08-08,249
1997-08-11,250
1997-08-12,251
1997-08-13,253
1997-08-14,254
1997-08-15,256
1997-08-18,261
1997-08-19,260
1997-08-20,258
1997-08-21,255
1997-08-22,252
1997-08-25,250
1997-08-26,251
1997-08-27,251
1997-08-28,257
1997-08-29,254
1997-08-31,259
1997-09-02,262
1997-09-03,260
1997-09-04,261
1997-09-05,260
1997-09-08,260
