Strike,Bid,Ask
1225,0,0.1
1250,0,0.1
1275,0.05,0.1
1300,0,0.1
1325,0.1,0.2
1350,0.1,0.2
1375,0.1,0.25
1400,0.15,0.25
1425,0.2,0.3
1450,0.25,0.35
1475,0.3,0.4
1500,0.35,0.45
1510,0.35,0.5
1520,0.4,0.5
1525,0.4,0.55
1530,0.45,0.55
1540,0.45,0.6
1550,0.5,0.6
1555,0.5,0.65
1560,0.55,0.65
1565,0.55,0.7
1570,0.6,0.7
1575,0.6,0.75
1580,0.6,0.75
1585,0.65,0.75
1590,0.65,0.8
1595,0.7,0.8
1600,0.7,0.85
1605,0.75,0.85
1610,0.75,0.9
1615,0.8,0.9
1620,0.8,0.95
1625,0.85,0.95
1630,0.9,1
1635,0.9,1.05
1640,0.95,1.05
1645,0.95,1.1
1650,1,1.15
1655,1.05,1.15
1660,1.1,1.2
1665,1.15,1.25
1670,1.15,1.3
1675,1.2,1.35
1680,1.25,1.4
1685,1.3,1.45
1690,1.35,1.5
1695,1.4,1.55
1700,1.45,1.6
1705,1.5,1.7
1710,1.6,1.75
1715,1.65,1.8
1720,1.7,1.9
1725,1.75,1.95
1730,1.85,2
1735,1.9,2.1
1740,2,2.2
1745,2.1,2.25
1750,2.2,2.35
1755,2.3,2.45
1760,2.4,2.55
1765,2.5,2.65
1770,2.65,2.8
1775,2.75,2.9
1780,2.9,3.1
1785,3,3.2
1790,3.1,3.4
1795,3.3,3.6
1800,3.5,3.7
1805,3.7,3.9
1810,3.8,4.1
1815,4.1,4.3
1820,4.3,4.5
1825,4.5,4.8
1830,4.8,5
1835,5,5.3
1840,5.3,5.6
1845,5.6,5.9
1850,5.9,6.2
1855,6.3,6.6
1860,6.6,6.9
1865,7,7.3
1870,7.5,7.8
1875,8,8.3
1880,8.4,8.8
1885,9,9.4
1890,9.5,10
1895,10.2,10.6
1900,10.9,11.3
1905,11.6,12
1910,12.4,12.8
1915,13.2,13.7
1920,14.2,14.6
1925,15.2,15.6
1930,16.2,16.6
1935,17.4,17.8
1940,18.6,19
1945,20,20.4
1950,21.4,21.8
1955,23,23.4
1960,24.7,25.1
1965,26.5,27.3
1970,28.5,29.4
1975,30.5,31.6
1980,33,34
1985,35.5,36.6
1990,38.4,39.5
1995,41.3,42.5
2000,44.5,45.8
2005,48.1,49.3
2010,51.7,53
2015,55.8,57
2020,59.9,61.7
2025,64.1,66.1
2030,68.6,70.6
2035,73.3,75.2
2040,78,80
2045,82,84.8
2050,86.9,89.6
2060,96.6,99.4
2070,106.7,109.5
2075,111.7,114.5
2100,136.3,139.1
2125,161.5,164.3
2150,186.3,189
2175,211.3,214
2200,236.3,239
2225,261.3,264
2250,286.3,289
