Year,Fund-of-Funds A,Fund-of-Funds B,Fund-of-Funds C,Fund-of-Funds D,Fund-of-Funds E,S&P Index Fund
2008,-0.165,-0.223,-0.213,-0.293,-0.301,-0.37
2009,0.113,0.145,0.214,0.165,0.168,0.266
2010,0.059,0.068,0.133,0.049,0.119,0.151
2011,-0.063,-0.013,0.059,-0.063,-0.028,0.021
2012,0.034,0.096,0.057,0.062,0.091,0.16
2013,0.105,0.152,0.088,0.142,0.144,0.323
2014,0.047,0.04,0.189,0.007,-0.021,0.136
2015,0.016,0.025,0.054,0.014,-0.05,0.014
2016,-0.032,0.019,-0.017,0.025,0.044,0.119
2017,0.122,0.106,0.156,NA,0.18,0.218
