Strike,Bid,Ask
800,1160.9,1164.4
900,1060.9,1064.5
1000,961,964.5
1050,911,914.5
1100,861,864.6
1125,836,839.6
1150,811,814.6
1175,786.1,789.6
1200,761.1,764.6
1220,741.1,744.6
1225,736.1,739.6
1240,721.1,724.6
1250,711.1,714.6
1260,701.1,704.6
1270,691.1,694.6
1275,686.1,689.6
1280,681.1,684.6
1290,671.1,674.7
1300,661.1,664.7
1305,656.1,659.7
1310,651.1,654.7
1315,646.1,649.7
1320,641.2,644.7
1325,636.2,639.7
1330,631.2,634.7
1335,626.2,629.7
1340,621.2,624.7
1345,616.2,619.7
1350,611.2,614.7
1355,606.2,609.7
1360,601.2,604.7
1365,596.2,599.7
1370,591.2,594.7
1375,586.2,589.7
1380,581.2,584.7
1385,576.2,579.7
1390,571.2,574.7
1395,566.2,569.7
1400,561.2,564.8
1405,556.2,559.8
1410,551.2,554.8
1415,546.2,549.8
1420,541.2,544.8
1425,536.3,539.8
1430,531.3,534.8
1435,526.3,529.8
1440,521.3,524.8
1445,516.3,519.8
1450,511.3,514.8
1455,506.3,509.8
1460,501.3,504.8
1465,496.3,499.8
1470,491.3,494.8
1475,486.3,489.9
1480,481.3,484.9
1485,476.3,479.9
1490,471.3,474.9
1495,466.4,469.9
1500,461.4,464.9
1505,456.4,459.9
1510,451.4,454.9
1515,446.4,449.9
1520,441.4,445
1525,436.4,440
1530,431.4,435
1535,426.4,430
1540,421.4,425
1545,416.5,420
1550,411.5,415
1555,406.5,410.1
1560,401.5,405.1
1565,396.5,400.1
1570,391.5,395.1
1575,386.5,390.1
1580,381.5,385.1
1585,376.6,380.2
1590,371.6,375.2
1595,366.6,370.2
1600,361.6,365.2
1605,356.6,360.3
1610,351.6,355.3
1615,346.7,350.3
1620,341.7,345.3
1625,336.7,340.4
1630,331.7,335.4
1635,326.7,330.4
1640,321.8,325.4
1645,316.8,320.5
1650,311.8,315.5
1655,306.8,310.5
1660,301.9,305.6
1665,296.9,300.6
1670,291.9,295.7
1675,287,290.7
1680,282,285.7
1685,277,280.8
1690,272.1,275.8
1695,267.1,270.9
1700,262.1,265.9
1705,257.2,261
1710,252.2,256
1715,247.3,251.1
1720,242.3,246.1
1725,237.4,241.2
1730,232.4,236.3
1735,227.5,231.3
1740,222.5,226.4
1745,217.6,221.5
1750,212.6,216.6
1755,207.7,211.6
1760,202.8,206.7
1765,197.8,201.8
1770,192.9,196.9
1775,188,192
1780,183.1,187.1
1785,178.2,182.2
1790,173.3,177.3
1795,168.4,172.4
1800,163.5,167.5
1805,158.6,162.6
1810,153.8,157.8
1815,148.9,152.9
1820,144.1,148.1
1825,139.2,143.3
1830,134.4,138.4
1835,129.6,133.6
1840,124.8,128.8
1845,120.1,124.1
1850,115.4,119.3
1855,110.6,114.6
1860,105.9,109.9
1865,101.3,105.2
1870,96.6,100.5
1875,92,95.9
1880,87.4,91.3
1885,82.9,86.7
1890,78.4,82.2
1895,74,77.7
1900,69.6,73.2
1905,66,68.5
1910,61.6,64.1
1915,57.4,59.8
1920,53.3,55.6
1925,49.1,51.2
1930,45.2,47.3
1935,41.2,43.4
1940,37.4,39.5
1945,33.7,35.7
1950,30.1,32.1
1955,26.7,28.5
1960,23.4,25.1
1965,20.3,21.8
1970,17.4,18.8
1975,14.6,15.9
1980,12.2,13.3
1985,9.9,11
1990,7.9,9
1995,6.2,7.1
2000,4.7,5.2
2005,3.4,4.2
2010,2.65,3.1
2015,1.75,2.3
2020,1.2,1.7
2025,1,1.25
2030,0.45,1
2035,0.25,0.8
2040,0.35,0.65
2045,0.2,0.6
2050,0.2,0.3
2055,0.15,0.5
2060,0.15,0.3
2065,0.15,0.2
2070,0.1,0.2
2075,0.1,0.2
2080,0.05,0.45
2085,0.05,0.4
2090,0.05,0.15
2095,0.05,0.35
2100,0.05,0.15
2120,0,0.15
2125,0.05,0.15
2150,0,0.1
2175,0,0.05
2200,0,0.05
2225,0.05,0.1
2250,0,0.05
